Created on 08-17-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
1577059200.0,2019-12-23,XRPUSD,0.1969,0.1988,0.1884,0.1895,10000631.24,1942277.74
1576972800.0,2019-12-22,XRPUSD,0.1914,0.197,0.1906,0.1969,4770539.16,925326.34
1576886400.0,2019-12-21,XRPUSD,0.1951,0.1962,0.1892,0.1914,7280036.05,1397007.52
1576800000.0,2019-12-20,XRPUSD,0.1879,0.1978,0.1837,0.1951,14314796.1,2733131.98
1576713600.0,2019-12-19,XRPUSD,0.1959,0.1971,0.1829,0.1879,15239246.15,2872570.25
1576627200.0,2019-12-18,XRPUSD,0.1827,0.2005,0.174,0.1959,35069566.53,6539898.68
1576540800.0,2019-12-17,XRPUSD,0.2052,0.2052,0.1771,0.1827,48981694.14,9269862.2
1576454400.0,2019-12-16,XRPUSD,0.217,0.217,0.2017,0.2052,17500445.03,3672005.11
1576368000.0,2019-12-15,XRPUSD,0.216,0.2193,0.2144,0.217,2948545.68,640663.09
1576281600.0,2019-12-14,XRPUSD,0.22,0.2208,0.2144,0.216,4155312.68,901961.82
1576195200.0,2019-12-13,XRPUSD,0.2183,0.2202,0.2147,0.22,1621076.01,352639.02
1576108800.0,2019-12-12,XRPUSD,0.2207,0.2218,0.2175,0.2183,2877780.46,631368.06
1576022400.0,2019-12-11,XRPUSD,0.2225,0.2235,0.2198,0.2207,5964025.45,1320624.89
1575936000.0,2019-12-10,XRPUSD,0.2243,0.2253,0.2187,0.2225,10073397.13,2228434.63
1575849600.0,2019-12-09,XRPUSD,0.2298,0.2314,0.2207,0.2243,9671034.67,2188776.75
1575763200.0,2019-12-08,XRPUSD,0.228,0.2326,0.224,0.2298,7004382.24,1600456.68
1575676800.0,2019-12-07,XRPUSD,0.2261,0.2287,0.2235,0.228,7350004.03,1665508.77
1575590400.0,2019-12-06,XRPUSD,0.2213,0.228,0.2193,0.2261,11082952.06,2475060.93
1575504000.0,2019-12-05,XRPUSD,0.2141,0.2264,0.2116,0.2213,19369627.96,4232437.71
1575417600.0,2019-12-04,XRPUSD,0.2196,0.2278,0.2097,0.2141,15496567.57,3367379.27
1575331200.0,2019-12-03,XRPUSD,0.2191,0.2219,0.218,0.2196,5425908.47,1193697.94
